time(s),x,y
0.009938000000000001,0,0
0.019911,-1,0
0.029918,-2,0
0.039898,-2,0
0.04983,-2,0
0.059807,-2,0
0.06977700000000001,-2,0
0.079751,-2,0
0.089758,-2,0
0.099733,-2,0
0.109706,-2,0
0.119644,-2,-1
0.129617,-2,-1
0.139591,-4,-5
0.149596,-5,-6
0.159544,-5,-6
0.169545,-5,-7
0.179519,-5,-7
0.189491,-6,-8
0.199465,-6,-9
0.209406,-8,-11
0.219377,-9,-14
0.229352,-10,-16
0.239358,-10,-17
0.249504,-12,-21
0.2595,-13,-22
0.269487,-15,-25
0.279447,-17,-27
0.289419,-19,-30
0.299392,-20,-32
0.309366,-21,-33
0.319373,-22,-37
0.32931,-23,-39
0.339285,-26,-42
0.349294,-27,-44
0.359278,-29,-46
0.369237,-31,-50
0.379178,-33,-52
0.389153,-36,-56
0.399125,-37,-58
0.409102,-40,-63
0.419072,-41,-65
0.429045,-44,-69
0.440014,-46,-72
0.449987,-49,-76
0.459966,-50,-78
0.469934,-53,-82
0.479907,-55,-84
0.489883,-58,-89
0.499854,-59,-91
0.509835,-61,-95
0.5198,-62,-97
0.529774,-63,-99
0.539747,-65,-103
0.549723,-67,-106
0.559697,-70,-110
0.56967,-71,-113
0.57964,-73,-117
0.589614,-75,-119
0.599589,-76,-121
0.609562,-79,-124
0.6195349999999999,-80,-126
0.629508,-82,-130
0.639481,-83,-133
0.649454,-86,-137
0.659435,-87,-139
0.6694020000000001,-90,-143
0.679375,-91,-146
0.68935,-93,-150
0.699321,-93,-151
0.709341,-96,-155
0.71927,-98,-157
0.72928,-99,-160
0.739216,-101,-161
0.749188,-102,-164
0.759207,-103,-165
0.769171,-103,-166
0.7791439999999999,-104,-169
0.78908,-105,-171
0.799053,-106,-172
0.809076,-106,-173
0.8190809999999999,-107,-174
0.829972,-107,-174
0.8399450000000001,-107,-175
0.849918,-107,-175
0.859899,-107,-175
0.869865,-107,-175
0.879871,-108,-176
0.889854,-108,-176
0.899817,-107,-176
0.909807,-107,-176
0.919731,-107,-176
0.929708,-107,-176
0.94071,-106,-176
0.949651,-106,-176
0.959651,-105,-177
0.969632,-105,-177
0.979571,-104,-177
0.989547,-104,-177
0.999518,-102,-177
1.009502,-101,-176
1.019466,-98,-175
1.029439,-96,-175
1.039411,-93,-175
1.049385,-92,-175
1.059367,-90,-174
1.069332,-86,-174
1.079305,-83,-174
1.089279,-79,-173
1.099253,-78,-173
1.109228,-73,-172
1.119198,-71,-172
1.129179,-66,-171
1.139147,-64,-171
1.149119,-60,-171
1.159093,-57,-171
1.169065,-55,-171
1.179037,-50,-171
1.190009,-47,-171
1.199983,-42,-171
1.209958,-39,-171
1.21993,-34,-171
1.229902,-32,-171
1.239876,-26,-171
1.249864,-23,-171
1.259825,-18,-171
1.269796,-15,-171
1.279768,-12,-171
1.289779,-6,-171
1.299716,-3,-171
1.30969,3,-171
1.319695,6,-171
1.329661,9,-171
1.339608,15,-171
1.34958,18,-171
1.359597,24,-171
1.369683,27,-171
1.379718,30,-171
1.389692,36,-171
1.399696,38,-171
1.409671,41,-172
1.419611,46,-172
1.429584,48,-172
1.439556,51,-172
1.449532,56,-173
1.459507,58,-173
1.469477,63,-173
1.479484,64,-174
1.489455,66,-174
1.499396,70,-174
1.509371,71,-174
1.519343,73,-174
1.529318,76,-174
1.539317,78,-175
1.549263,79,-175
1.559273,82,-175
1.569212,84,-175
1.579184,85,-175
1.589201,88,-175
1.599129,89,-175
1.609104,90,-175
1.619113,93,-176
1.629051,94,-176
1.639056,95,-176
1.649994,96,-176
1.659967,96,-176
1.66994,97,-176
1.679915,98,-176
1.689888,98,-176
1.699887,99,-176
1.709863,100,-176
1.719808,100,-176
1.72978,101,-176
1.739756,101,-176
1.749727,101,-175
1.759704,101,-175
1.769673,101,-175
1.779647,101,-175
1.78962,101,-174
1.799593,100,-174
1.809567,100,-173
1.819542,99,-173
1.829514,98,-171
1.839487,97,-169
1.849462,97,-168
1.859435,96,-166
1.869407,96,-165
1.879383,96,-164
1.88938,95,-162
1.899327,95,-161
1.909302,94,-159
1.9193,94,-157
1.929255,93,-155
1.939222,93,-152
1.949234,92,-151
1.959167,91,-149
1.969141,90,-146
1.979121,89,-144
1.989121,88,-142
1.999091,86,-139
2.009036,85,-137
2.019041,84,-133
2.029979,83,-132
2.039951,81,-128
2.049924,79,-126
2.059897,78,-124
2.069903,75,-121
2.079844,74,-119
2.089817,73,-117
2.099792,71,-113
2.109766,70,-111
2.119738,69,-110
2.129715,66,-106
2.139684,64,-105
2.149698,62,-101
2.159631,61,-99
2.169604,60,-97
2.179579,57,-94
2.189553,56,-92
2.199523,54,-90
2.209497,52,-86
2.21947,51,-84
2.229444,49,-81
2.239448,48,-79
2.24939,46,-77
2.259363,44,-74
2.269335,43,-72
2.279339,42,-71
2.289327,39,-67
2.300256,38,-65
2.309238,35,-62
2.319204,34,-60
2.329179,33,-59
2.339152,30,-55
2.349124,29,-54
2.359098,27,-51
2.369071,26,-50
2.379045,24,-47
2.390018,23,-45
2.399987,21,-42
2.409963,20,-41
2.419935,19,-39
2.42965,17,-35
2.439883,16,-34
2.449854,16,-31
2.459826,13,-30
2.4698,13,-29
2.479774,11,-27
2.489747,10,-25
2.49972,9,-23
2.509693,9,-22
2.519667,7,-20
2.529641,7,-19
2.539615,6,-19
2.549588,4,-17
2.559561,4,-16
2.569534,2,-14
2.57951,2,-13
2.589508,1,-13
2.599048,1,-11
2.609989,0,-10
2.619961,-1,-9
2.629935,-1,-8
2.639907,-2,-7
2.649881,-3,-7
