time(s),x,y
0.010997,0,0
0.02008,0,0
0.029922,1,0
0.039896,1,0
0.049909,1,0
0.059842,1,0
0.06986199999999999,1,0
0.079819,1,0
0.0896,1,0
0.100085,1,0
0.11006,1,0
0.120075,1,0
0.130094,1,0
0.140006,1,0
0.149992,1,0
0.160832,1,-1
0.169983,1,-1
0.179914,1,-1
0.18988,1,-5
0.199824,1,-6
0.209836,1,-8
0.219792,0,-10
0.230734,0,-10
0.239742,-1,-11
0.249728,-2,-13
0.259307,-6,-19
0.26967,-6,-20
0.279669,-7,-21
0.289663,-7,-22
0.299708,-9,-26
0.30959,-10,-28
0.319526,-11,-31
0.32958,-12,-33
0.339486,-13,-34
0.349445,-16,-38
0.35956,-17,-40
0.369365,-19,-44
0.379369,-19,-46
0.38931,-21,-51
0.399322,-23,-53
0.409343,-25,-57
0.419272,-27,-59
0.429241,-28,-63
0.439269,-29,-66
0.450189,-31,-70
0.460148,-32,-73
0.470098,-35,-78
0.480117,-36,-80
0.49009,-37,-83
0.500018,-40,-88
0.510037,-46,-96
0.519962,-46,-97
0.529937,-47,-98
0.5399620000000001,-48,-101
0.550037,-49,-104
0.559904,-51,-108
0.569878,-52,-110
0.579914,-54,-113
0.589826,-55,-116
0.599848,-57,-120
0.609779,-58,-122
0.619747,-60,-126
0.630144,-61,-128
0.6395650000000001,-64,-132
0.649477,-65,-134
0.659586,-67,-137
0.669677,-68,-139
0.679666,-70,-143
0.689639,-71,-144
0.699589,-71,-144
0.709587,-77,-152
0.719521,-77,-153
0.729521,-77,-154
0.739509,-79,-156
0.74944,-80,-158
0.759453,-81,-160
0.769427,-82,-162
0.779545,-84,-164
0.789372,-85,-165
0.799307,-86,-165
0.809325,-86,-166
0.819381,-86,-166
0.829267,-87,-167
0.839241,-88,-168
0.8502110000000001,-88,-168
0.860168,-88,-168
0.870157,-88,-168
0.880123,-88,-168
0.890093,-88,-168
0.8998660000000001,-88,-168
0.909842,-87,-167
0.9198190000000001,-87,-167
0.929796,-87,-167
0.939765,-86,-167
0.949731,-86,-166
0.959665,-85,-166
0.9696360000000001,-84,-166
0.979609,-84,-165
0.9896239999999999,-82,-165
0.999848,-82,-165
1.00982,-81,-164
1.019826,-80,-164
1.029768,-80,-164
1.03977,-79,-164
1.049715,-79,-164
1.05973,-78,-163
1.069699,-78,-163
1.079675,-77,-163
1.089608,-76,-163
1.099612,-75,-163
1.109554,-74,-163
1.119566,-71,-163
1.129533,-70,-163
1.139517,-70,-163
1.149447,-70,-163
1.159469,-69,-163
1.169442,-68,-163
1.179368,-67,-163
1.189379,-66,-163
1.199629,-65,-163
1.209626,-62,-163
1.219547,-60,-163
1.229575,-59,-163
1.239534,-59,-163
1.249518,-58,-163
1.259488,-57,-163
1.269415,-52,-163
1.279436,-51,-162
1.289418,-49,-163
1.299964,-48,-163
1.309942,-45,-163
1.319906,-44,-163
1.330877,-41,-163
1.33985,-39,-163
